7zip 25.01+dfsg-1~deb13u1
glib-networking-common 2.80.1-1
glib-networking-services 2.80.1-1
gnupg 2.4.7-21+deb13u1
gnupg-l10n 2.4.7-21+deb13u1
gnupg-utils 2.4.7-21+deb13u1+b2
gpg 2.4.7-21+deb13u1+b2
gpg-agent 2.4.7-21+deb13u1+b2
gpgconf 2.4.7-21+deb13u1+b2
gpgsm 2.4.7-21+deb13u1+b2
gpgv 2.4.7-21+deb13u1+b2
gpg-wks-client 2.4.7-21+deb13u1+b2
gpiod 2.2.1-2+deb13u1
grep 3.11-4+b1
grim 1.4.0+ds-2+b2
groff-base 1.23.0-9
gsettings-desktop-schemas 48.0-1+rpt1
gstreamer1.0-libcamera 0.7.0+rpt20260205-1
gstreamer1.0-pipewire 1.4.2-1+rpt3
gstreamer1.0-plugins-base 1.26.2-1+rpt3+deb13u1
gstreamer1.0-plugins-good 1.26.2-1+deb13u2
gstreamer1.0-tools 1.26.2-2
gstreamer1.0-x 1.26.2-1+rpt3+deb13u1
gtk-update-icon-cache 4.18.6+ds-2
gzip 1.13-1
hicolor-icon-theme 0.18-2
hostname 3.25
htop 3.4.1-5
init 1.69~deb13u1
initramfs-tools 0.148.3+rpt2
initramfs-tools-bin 0.148.3+rpt2
initramfs-tools-core 0.148.3+rpt2
init-system-helpers 1.69~deb13u1
inotify-tools 4.23.9.0-2+b1
iproute2 6.15.0-1
iptables 1.8.11-2
iputils-arping 3:20240905-3
iputils-ping 3:20240905-3
iso-codes 4.18.0-1
iw 6.9-1+b1
kbd 2.7.1-2
keyboard-configuration 1.242~deb13u1
klibc-utils 2.0.14-1
kmod 34.2-2
kms++-utils 0~git20250807.1813ada-1
labwc 0.9.2-1+rpt4
less 668-1
libaa1 1.4p5-51.1+b1
libabsl20240722 20240722.0-4
libacl1 2.3.2-2+b1
libalgorithm-diff-perl 1.201-1
libalgorithm-diff-xs-perl 0.04-9
libalgorithm-merge-perl 0.08-5
libapparmor1 4.1.0-1
libapt-pkg7.0 3.0.3
libasan8 14.2.0-19
libasound2-data 1.2.14-1+rpt1
libasound2t64 1.2.14-1+rpt1
libassuan9 3.0.2-2
libasyncns0 0.8-6+b5
libatasmart4 0.19-5+b2
libatk1.0-0t64 2.56.2-1+deb13u1
libatk-bridge2.0-0t64 2.56.2-1+deb13u1
libatomic1 14.2.0-19
libatopology2t64 1.2.14-1+rpt1
libatspi2.0-0t64 2.56.2-1+deb13u1
libattr1 1:2.5.2-3
libaudit1 1:4.0.2-2+b2
libaudit-common 1:4.0.2-2
libauthen-sasl-perl 2.1700-1
libavahi-client3 0.8-16
libavahi-common3 0.8-16
libavahi-common-data 0.8-16
libavahi-core7 0.8-16
libavc1394-0 0.5.4-5+b2
libb2-1 0.98.1-1.1+b2
libbabeltrace1 1.5.11-4+b2
libbinutils 2.44-3
libblkid1 2.41-5
libblockdev3 3.3.0-2.1
libblockdev-crypto3 3.3.0-2.1
libblockdev-fs3 3.3.0-2.1
libblockdev-loop3 3.3.0-2.1
libblockdev-mdraid3 3.3.0-2.1
libblockdev-nvme3 3.3.0-2.1
libblockdev-part3 3.3.0-2.1
libblockdev-swap3 3.3.0-2.1
libblockdev-utils3 3.3.0-2.1
libbluetooth3 5.82-1.1+rpt1
libboost-filesystem1.83.0 1.83.0-4.2
libboost-log1.83.0 1.83.0-4.2
libboost-program-options1.83.0 1.83.0-4.2
libboost-thread1.83.0 1.83.0-4.2
libbpf1 1:1.5.0-3
libbrotli1 1.1.0-2+b7
libbsd0 0.12.2-2
libbytesize1 2.11-2
libbytesize-common 2.11-2
libbz2-1.0 1.0.8-6
libc6 2.41-12+rpt1+deb13u2
libc6-dev 2.41-12+rpt1+deb13u2
libcaca0 0.99.beta20-5
libcairo2 1.18.4-1+rpt1
libcairo-gobject2 1.18.4-1+rpt1
libcamera0.7 0.7.0+rpt20260205-1
libcamera-ipa 0.7.0+rpt20260205-1
libcap2 1:2.75-10+b8
libcap2-bin 1:2.75-10+b8
libcap-ng0 0.8.5-4+b1
libc-bin 2.41-12+rpt1+deb13u2
libcbor0.10 0.10.2-2
libcc1-0 14.2.0-19
libc-dev-bin 2.41-12+rpt1+deb13u2
libcdparanoia0 3.10.2+debian-14+b1
libc-l10n 2.41-12+rpt1+deb13u2
libclone-perl 0.47-1+b1
libcloudproviders0 0.3.6-2
libcolord2 1.4.7-3
libcom-err2 1.47.2-3+b10
libconfig++11 1.7.3-2
libcpuinfo0 0.0~git20250327.39ea79a-1
libcrypt1 1:4.4.38-1
libcrypt-dev 1:4.4.38-1
libcryptsetup12 2:2.7.5-2
libctf0 2.44-3
libctf-nobfd0 2.44-3
libcups2t64 2.4.10-3+rpt2+deb13u1
libcurl3t64-gnutls 8.14.1-2+deb13u3
libcurl4t64 8.14.1-2+deb13u3
libdaemon0 0.14-7.1+b3
libdata-dump-perl 1.25-1
libdatrie1 0.2.13-3+b1
libdav1d7 1.5.1-1
libdb5.3t64 5.3.28+dfsg2-9
libdbus-1-3 1.16.2-2
libdconf1 0.40.0-5
libdebconfclient0 0.280
libdebuginfod1t64 0.192-4
libdebuginfod-common 0.192-4
libdecor-0-0 0.2.2-2
libdecor-0-plugin-1-gtk 0.2.2-2
libdeflate0 1.23-2
libdevmapper1.02.1 2:1.02.205-2
libdisplay-info2 0.2.0-2
libdouble-conversion3 3.3.1-1
libdpkg-perl 1.22.22
libdrm2 2.4.131-1~bpo13+1+rpt2
libdrm-amdgpu1 2.4.131-1~bpo13+1+rpt2
libdrm-common 2.4.131-1~bpo13+1+rpt2
libdtovl0 20260304+1-1
libduktape207 2.7.0-2+b2
libdv4t64 1.0.0-17.1+b1
libdvdread8t64 6.1.3-2
libdw1t64 0.192-4
libeatmydata1 131-2+b1
libebml5 1.4.5-1+b1
libebur128-1 1.2.6-1+b2
libedit2 3.1-20250104-1
libegl1 1.7.0-1+b2
libegl-mesa0 25.0.7-2+rpt4
libelf1t64 0.192-4
libencode-locale-perl 1.05-3
libepoxy0 1.5.10-2
liberror-perl 0.17030-1
libevdev2 1.13.4+dfsg-1
libexif12 0.6.25-1
libexpat1 2.7.1-2
libext2fs2t64 1.47.2-3+b10
libfakeroot 1.37.1.1-1
libfarmhash0 0~git20190513.0d859a8-3+b1
libfdisk1 2.41-5
libfdt1 1.7.2-2+b1
libffado2 2.4.9-2
libffi8 3.4.8-2
libfftw3-single3 3.3.10-2+b1
libfido2-1 1.15.0-1+b1
libfile-basedir-perl 0.09-2
libfile-desktopentry-perl 0.22-3
libfile-fcntllock-perl 0.22-4+b4
libfile-listing-perl 6.16-1
libfile-mimeinfo-perl 0.35-1
libflac14 1.5.0+ds-2
libfmt10 10.1.1+ds1-4
libfont-afm-perl 1.20-4
libfontconfig1 2.15.0-2.3
libfontenc1 1:1.1.8-1+b2
libfreetype6 2.13.3+dfsg-1+deb13u1
libfribidi0 1.0.16-1
libftdi1-2 1.5-10
libfuse3-4 3.17.2-3
libgbm1 25.0.7-2+rpt4
libgcc-14-dev 14.2.0-19
libgcc-s1 14.2.0-19
libgcrypt20 1.11.0-7
libgdbm6t64 1.24-2
libgdbm-compat4t64 1.24-2
libgdk-pixbuf-2.0-0 2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-bin 2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common 2.42.12+dfsg-4+deb13u1
libgl1 1.7.0-1+b2
libgl1-mesa-dri 25.0.7-2+rpt4
libgles2 1.7.0-1+b2
libglib2.0-0t64 2.84.4-3~deb13u2
libglib2.0-data 2.84.4-3~deb13u2
libglibmm-2.4-1t64 2.66.8-1
libglvnd0 1.7.0-1+b2
libglx0 1.7.0-1+b2
libglx-mesa0 25.0.7-2+rpt4
libgmp10 2:6.3.0+dfsg-3
libgnutls30t64 3.8.9-3+deb13u2
libgomp1 14.2.0-19
libgpg-error0 1.51-4
libgpg-error-l10n 1.51-4
libgpgme11t64 1.24.2-3
libgpiod3 2.2.1-2+deb13u1
libgpiolib0 20260304+1-1
libgpm2 1.20.7-11+b2
libgprofng0 2.44-3
libgraphite2-3 1.3.14-2+b1
libgssapi-krb5-2 1.21.3-5
libgstreamer1.0-0 1.26.2-2
libgstreamer-plugins-base1.0-0 1.26.2-1+rpt3+deb13u1
libgtk-3-0t64 1:3.24.49-3+rpt8
libgtk-3-bin 1:3.24.49-3+rpt8
libgtk-3-common 1:3.24.49-3+rpt8
libgudev-1.0-0 238-6
libharfbuzz0b 10.2.0-1+b1
libharfbuzz-subset0 10.2.0-1+b1
libhidapi-hidraw0 0.14.0-1+b2
libhogweed6t64 3.10.1-1
libhtml-format-perl 2.16-2
libhtml-form-perl 6.12-1
libhtml-parser-perl 3.83-1+b2
libhtml-tagset-perl 3.24-1
libhtml-tree-perl 5.07-3
libhttp-cookies-perl 6.11-1
libhttp-daemon-perl 6.16-1
libhttp-date-perl 6.06-1
libhttp-message-perl 7.00-2
libhttp-negotiate-perl 6.01-2
libhwasan0 14.2.0-19
libice6 2:1.1.1-1
libicu76 76.1-4
libidn2-0 2.3.8-2
libiec61883-0 1.2.0-7
libimobiledevice-1.0-6 1.3.0+git20250228-2
libimobiledevice-glue-1.0-0 1.3.1-1
libinotifytools0 4.23.9.0-2+b1
libinput10 1.28.1-1
libinput-bin 1.28.1-1
libio-compress-brotli-perl 0.004001-2+b3
libio-html-perl 1.004-3
libio-socket-ssl-perl 2.089-1
libio-stringy-perl 2.113-2
libip4tc2 1.8.11-2
libip6tc2 1.8.11-2
libipc-system-simple-perl 1.30-2
libisl23 0.27-1
libitm1 14.2.0-19
libiw30t64 30~pre9-18+b1
libjansson4 2.14-2+b3
libjaylink0 0.4.0-1
libjbig0 2.1-6.1+b2
libjim0.83 0.83-2
libjpeg62-turbo 1:2.1.5-4
libjson-c5 0.18+ds-1
libjson-glib-1.0-0 1.10.6+ds-2
libjson-glib-1.0-common 1.10.6+ds-2
libk5crypto3 1.21.3-5
libkeyutils1 1.6.3-6
libklibc 2.0.14-1
libkmod2 34.2-2
libkms++0 0~git20250807.1813ada-1
libkrb5-3 1.21.3-5
libkrb5support0 1.21.3-5
libksba8 1.6.7-2+b1
liblastlog2-2 2.41-5
liblcms2-2 2.16-2
libldap2 2.6.10+dfsg-1
libldap-common 2.6.10+dfsg-1
liblerc4 4.0.0+ds-5
liblgpio1 0.2.2-1~rpt1+trixie
libliftoff0 0.5.0-1.1+rpt6
liblilv-0-0 0.24.26-1
libllvm19 1:19.1.7-3+b1
liblocale-gettext-perl 1.07-7+b1
liblsan0 14.2.0-19
liblttng-ust1t64 2.13.9-1
liblttng-ust-common1t64 2.13.9-1
liblttng-ust-ctl5t64 2.13.9-1
liblua5.4-0 5.4.7-1+b2
libluajit-5.1-2 2.1.0+openresty20250117-2
libluajit-5.1-common 2.1.0+openresty20250117-2
liblwp-mediatypes-perl 6.04-2
liblwp-protocol-https-perl 6.14-1
liblz4-1 1.10.0-4
liblzma5 5.8.1-1
libmagic1t64 1:5.46-5
libmagic-mgc 1:5.46-5
libmailtools-perl 2.22-1
libmatroska7 1.7.1-1+b2
libmbim-glib4 1.32.0-1
libmbim-proxy 1.32.0-1
libmbim-utils 1.32.0-1
libmd0 1.1.0-2+b1
libminizip1t64 1:1.3.dfsg+really1.3.1-1+b1
libmm-glib0 1.24.0-1+deb13u1
libmnl0 1.0.5-3
libmount1 2.41-5
libmp3lame0 3.100-6+b3
libmpc3 1.3.1-1+b3
libmpfr6 4.2.2-1
libmpg123-0t64 1.32.10-1+deb13u1
libmtdev1t64 1.1.7-1
libmtp9t64 1.1.22-1
libmtp-common 1.1.22-1
libmtp-runtime 1.1.22-1
libmysofa1 1.3.3+dfsg-1
libncurses6 6.5+20250216-2
libncursesw6 6.5+20250216-2
libndp0 1.9-1+b1
libnet-dbus-perl 1.2.0-2+b3
libnetfilter-conntrack3 1.1.0-1
libnet-http-perl 6.23-1
libnetplan1 1.1.2-7+rpt1
libnet-smtp-ssl-perl 1.04-2
libnet-ssleay-perl 1.94-3
libnettle8t64 3.10.1-1
libnewt0.52 0.52.25-1
libnfnetlink0 1.0.2-3
libnftables1 1.1.3-1
libnftnl11 1.2.9-1
libnghttp2-14 1.64.0-1.1
libnghttp3-9 1.8.0-1
libngtcp2-16 1.11.0-1
libngtcp2-crypto-gnutls8 1.11.0-1
libnl-3-200 3.7.0-2
libnl-genl-3-200 3.7.0-2
libnl-route-3-200 3.7.0-2
libnm0 1.52.1-1+rpt4
libnpth0t64 1.8-3
libnspr4 2:4.36-1
libnss3 2:3.110-1+deb13u1
libnss-mdns 0.15.1-4+b1
libntfs-3g89t64 1:2022.10.3-5
libnuma1 2.0.19-1
libnvme1t64 1.13-2
libogg0 1.3.5-3+b2
libopencore-amrnb0 0.1.6-1+b2
libopencore-amrwb0 0.1.6-1+b2
libopenfec1 1.4.2.11+dfsg-1
libopenh264-8 2.6.0+dfsg-2
libopenjp2-7 2.5.3-2.1~deb13u1
libopus0 1.5.2-2
liborc-0.4-0t64 1:0.4.41-1
libossp-uuid16 1.6.4-1
libp11-kit0 0.25.5-3
libpam0g 1.7.0-5
libpam-chksshpwd 2.0
libpam-modules 1.7.0-5
libpam-modules-bin 1.7.0-5
libpam-runtime 1.7.0-5
libpam-systemd 257.9-1~deb13u1
libpango-1.0-0 1.56.3-1
libpangocairo-1.0-0 1.56.3-1
libpangoft2-1.0-0 1.56.3-1
libparted2t64 3.6-5
libpcap0.8t64 1.10.5-2
libpci3 1:3.13.0-2
libpcre2-16-0 10.46-1~deb13u1
libpcre2-8-0 10.46-1~deb13u1
libpcsclite1 2.3.3-1
libperl5.40 5.40.1-6
libpipeline1 1.5.8-1
libpipewire-0.3-0t64 1.4.2-1+rpt3
libpipewire-0.3-common 1.4.2-1+rpt3
libpipewire-0.3-modules 1.4.2-1+rpt3
libpisp1 1.4.0-1
libpisp-common 1.4.0-1
libpixman-1-0 0.46.4-1+rpt1
libpkgconf3 1.8.1-4
libplist-2.0-4 2.6.0-2+b1
libpng16-16t64 1.6.48-1+deb13u4
libpolkit-agent-1-0 126-2
libpolkit-gobject-1-0 126-2
libpopt0 1.19+dfsg-2
libproc2-0 2:4.0.4-9
libproxy1v5 0.5.9-1
libpsl5t64 0.21.2-1.1+b1
libpugixml1v5 1.14-2
libpulse0 17.0+dfsg1-2+rpt1
libpython3.13 3.13.5-2
libpython3.13-minimal 3.13.5-2
libpython3.13-stdlib 3.13.5-2
libpython3-stdlib 3.13.5-1
libqmi-glib5 1.36.0-1
libqmi-proxy 1.36.0-1
libqmi-utils 1.36.0-1
libqrtr-glib0 1.2.2-1+b2
libqt6core6t64 6.8.2+dfsg-9+deb13u1
libraw1394-11 2.1.2-2+b2
libreadline8t64 8.2-6
libroc0.4 0.4.0+dfsg-5
librpicam-app1 1.11.1-1
librsvg2-2 2.60.0+dfsg-1
librsvg2-common 2.60.0+dfsg-1
librtmp1 2.4+20151223.gitfa8646d.1-2+b5
libsamplerate0 0.2.2-4+b2
libsasl2-2 2.1.28+dfsg1-9
libsasl2-modules 2.1.28+dfsg1-9
libsasl2-modules-db 2.1.28+dfsg1-9
libseat1 0.9.1-1
libseccomp2 2.6.0-2
libselinux1 3.8.1-1
libsemanage2 3.8.1-1
libsemanage-common 3.8.1-1
libsensors5 1:3.6.2-2
libsensors-config 1:3.6.2-2
libsepol2 3.8.1-1
libserd-0-0 0.32.4-1
libsfdo0 0.1.3-1+b1
libsframe1 2.44-3
libsharpyuv0 1.5.0-0.1
libshout3 2.4.6-1+b3
libsigc++-2.0-0v5 2.12.1-3
libslang2 2.3.3-5+b2
libsm6 2:1.2.6-1
libsmartcols1 2.41-5
libsndfile1 1.2.2-2+deb13u1
libsord-0-0 0.16.18-1
libsoup-3.0-0 3.6.5-3
libsoup-3.0-common 3.6.5-3
libsource-highlight4t64 3.1.9-4.3+b1
libsource-highlight-common 3.1.9-4.3
libspa-0.2-modules 1.4.2-1+rpt3
libspeex1 1.2.1-3
libspeexdsp1 1.2.1-3
libsqlite3-0 3.46.1-7+deb13u1
libsratom-0-0 0.6.18-1
libss2 1.47.2-3+b10
libssh2-1t64 1.11.1-1
libssl3t64 3.5.5-1~deb13u2
libstdc++-14-dev 14.2.0-19
libstdc++6 14.2.0-19
libsystemd0 257.9-1~deb13u1
libsystemd-shared 257.9-1~deb13u1
libtag2 2.0.2-2
libtalloc2 2:2.4.3+samba4.22.8+dfsg-0+deb13u1
libtasn1-6 4.20.0-2
libteamdctl0 1.31-1+b2
libtensorflow-lite2.20.0 2.20.0-1+rpt1
libtext-charwidth-perl 0.04-11+b4
libtext-iconv-perl 1.7-8+b4
libtext-wrapi18n-perl 0.06-10
libthai0 0.1.29-2+b1
libthai-data 0.1.29-2
libtheora0 1.2.0~alpha1+dfsg-6
libtheoradec1 1.2.0~alpha1+dfsg-6
libtheoraenc1 1.2.0~alpha1+dfsg-6
libtie-ixhash-perl 1.23-4
libtiff6 4.7.0-3+deb13u2
libtimedate-perl 2.3300-2
libtinfo6 6.5+20250216-2
libtirpc3t64 1.3.6+ds-1
libtirpc-common 1.3.6+ds-1
libtry-tiny-perl 0.32-1
libtsan2 14.2.0-19
libtwolame0 0.4.0-2+b2
libubsan1 14.2.0-19
libuchardet0 0.0.8-1+b2
libudev1 257.9-1~deb13u1
libudisks2-0 2.10.1-12.1+deb13u1
libunistring5 1.3-2
libupower-glib3 1.90.9-1
liburi-perl 5.30-1
libusb-1.0-0 2:1.0.28-1
libusbmuxd-2.0-7 2.1.0-1+b1
libuuid1 2.41-5
libuv1t64 1.50.0-2
libv4l-0t64 1.30.1-1
libv4l2rds0t64 1.30.1-1
libv4lconvert0t64 1.30.1-1
libvisual-0.4-0 0.4.2-2+b2
libvolume-key1 0.3.12-9
libvorbis0a 1.3.7-3
libvorbisenc2 1.3.7-3
libvpx9 1.15.0-2.1+deb13u1
libvulkan1 1.4.309.0-1
libwacom9 2.14.0-1
libwacom-common 2.14.0-1
libwavpack1 5.8.1-1
libwayland-client0 1.24.0-2~bpo13+1~rpt1
libwayland-cursor0 1.24.0-2~bpo13+1~rpt1
libwayland-egl1 1.24.0-2~bpo13+1~rpt1
libwayland-server0 1.24.0-2~bpo13+1~rpt1
libwbclient0 2:4.22.8+dfsg-0+deb13u1
libwebp7 1.5.0-0.1
libwebrtc-audio-processing-1-3 1.3-3+b1
libwidevinecdm0 4.10.2662.3+1
libwireplumber-0.5-0 0.5.8-2
libwlroots-0.19 0.19.1-1+rpt3
libwrap0 7.6.q-36
libwtmpdb0 0.73.0-3+deb13u1
libwww-perl 6.78-1
libwww-robotrules-perl 6.02-1
libx11-6 2:1.8.12-1
libx11-data 2:1.8.12-1
libx11-protocol-perl 0.56-9
libx11-xcb1 2:1.8.12-1
libxau6 1:1.0.11-1
libxaw7 2:1.0.16-1
libxcb1 1.17.0-2+b1
libxcb-composite0 1.17.0-2+b1
libxcb-dri3-0 1.17.0-2+b1
libxcb-errors0 1.0.1-4
libxcb-ewmh2 0.4.2-1
libxcb-glx0 1.17.0-2+b1
libxcb-icccm4 0.4.2-1
libxcb-present0 1.17.0-2+b1
libxcb-randr0 1.17.0-2+b1
libxcb-render0 1.17.0-2+b1
libxcb-render-util0 0.3.10-1
libxcb-res0 1.17.0-2+b1
libxcb-shape0 1.17.0-2+b1
libxcb-shm0 1.17.0-2+b1
libxcb-sync1 1.17.0-2+b1
libxcb-xfixes0 1.17.0-2+b1
libxcb-xinput0 1.17.0-2+b1
libxcomposite1 1:0.4.6-1
libxcursor1 1:1.2.3-1
libxcvt0 0.1.3-1
libxdamage1 1:1.1.6-1+b2
libxdmcp6 1:1.1.5-1
libxext6 2:1.3.4-1+b3
libxfixes3 1:6.0.0-2+b4
libxfont2 1:2.0.6-1+b3
libxft2 2.3.6-1+b4
libxi6 2:1.8.2-1
libxinerama1 2:1.1.4-3+b4
libxkbcommon0 1.7.0-2
libxkbfile1 1:1.1.0-1+b4
libxml2 2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxml++2.6-2v5 2.42.3-2
libxml-parser-perl 2.47-2~deb13u1
libxml-twig-perl 1:3.52-3
libxml-xpathengine-perl 0.14-2
libxmu6 2:1.1.3-3+b4
libxmuu1 2:1.1.3-3+b4
libxnvctrl0 535.171.04-1+b2
libxpm4 1:3.5.17-1+b3
libxrandr2 2:1.5.4-1+b3
libxrender1 1:0.9.12-1
libxshmfence1 1.3.3-1
libxt6t64 1:1.2.1-1.2+b2
libxtables12 1.8.11-2
libxtst6 2:1.2.5-1
libxv1 2:1.0.11-1.1+b3
libxxf86dga1 2:1.1.5-1+b3
libxxf86vm1 1:1.1.4-1+b4
libxxhash0 0.8.3-2
libyaml-0-2 0.2.5-2
libyuv0 0.0.1904.20250204-1
libz3-4 4.13.3-1
libzix-0-0 0.6.2-1
libzstd1 1.5.7+dfsg-1
linux-base 4.12.1
linux-headers-6.12.47+rpt-common-rpi 1:6.12.47-1+rpt1
linux-headers-6.12.47+rpt-rpi-2712 1:6.12.47-1+rpt1
linux-headers-6.12.47+rpt-rpi-v8 1:6.12.47-1+rpt1
linux-headers-6.12.75+rpt-common-rpi 1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-2712 1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-v8 1:6.12.75-1+rpt1
linux-headers-rpi-2712 1:6.12.75-1+rpt1
linux-headers-rpi-v8 1:6.12.75-1+rpt1
linux-image-6.12.47+rpt-rpi-2712 1:6.12.47-1+rpt1
linux-image-6.12.47+rpt-rpi-v8 1:6.12.47-1+rpt1
linux-image-6.12.75+rpt-rpi-2712 1:6.12.75-1+rpt1
linux-image-6.12.75+rpt-rpi-v8 1:6.12.75-1+rpt1
linux-image-rpi-2712 1:6.12.75-1+rpt1
linux-image-rpi-v8 1:6.12.75-1+rpt1
linux-kbuild-6.12.47+rpt 1:6.12.47-1+rpt1
linux-kbuild-6.12.75+rpt 1:6.12.75-1+rpt1
linux-libc-dev 1:6.12.75-1+rpt1
linux-sysctl-defaults 4.12.1
locales 2.41-12+rpt1+deb13u2
login 1:4.16.0-2+really2.41-5
login.defs 1:4.17.4-2
logrotate 3.22.0-1+b2
logsave 1.47.2-3+b10
lsb-release 12.1-1
lua5.1 5.1.5-11
luajit 2.1.0+openresty20250117-2
luit 2.0.20240910-1+b1
make 4.4.1-2
man-db 2.13.1-1
manpages 6.9.1-1
manpages-dev 6.9.1-1
mawk 1.3.4.20250131-1
media-types 13.0.0
mesa-libgallium 25.0.7-2+rpt4
mesa-vulkan-drivers 25.0.7-2+rpt4
mkvtoolnix 92.0-1
modemmanager 1.24.0-1+deb13u1
mount 2.41-5
nano 8.4-1
ncdu 1.22-1
ncurses-base 6.5+20250216-2
ncurses-bin 6.5+20250216-2
ncurses-term 6.5+20250216-2
netbase 6.5
netcat-openbsd 1.229-1
netplan-generator 1.1.2-7+rpt1
netplan.io 1.1.2-7+rpt1
net-tools 2.10-1.3
network-manager 1.52.1-1+rpt4
network-manager-l10n 1.52.1-1+rpt4
nftables 1.1.3-1
notification-daemon 3.20.0-5
ntfs-3g 1:2022.10.3-5
openssh-client 1:10.0p1-7+deb13u2
openssh-server 1:10.0p1-7+deb13u2
openssh-sftp-server 1:10.0p1-7+deb13u2
openssl 3.5.5-1~deb13u2
openssl-provider-legacy 3.5.5-1~deb13u2
p7zip-full 16.02+transitional.1
pahole 1.30-1
parted 3.6-5
passwd 1:4.17.4-2
pastebinit 1.7.1-1+~rpt2
patch 2.8-2
pci.ids 0.0~2025.06.09-1
pciutils 1:3.13.0-2
